"domain","metric","frozen_value","reporting_note"
"Discovery cohort","Sepsis blood samples","35","BP"
"Discovery cohort","Healthy blood controls","10","BC"
"Primary DE","Differentially expressed genes","2659","1660 up; 999 down"
"Batch-adjusted DE","Differentially expressed genes","4125","2093 up; 2032 down"
"Robust core","Genes","1796","1133 up; 663 down"
"SRS","BP SRS distribution","SRS1=28; SRS2=7; SRS3=0","Primary SepstratifieR assignment"
"CTS","BP CTS distribution","CTS1=14; CTS2=6; CTS3=15","Primary BP-only CTS assignment"
"Five-gene score","Primary panel","CD177; HK3; IRAK3; CARD11; IKZF2","Biology-guided primary configuration"
"Five-gene score","Score vs SRSq","rho=0.764986","Discovery blood cohort"
"Five-gene score","Score across CTS","Kruskal-Wallis P=9.437e-06","Discovery blood cohort"
"Clinical context","Score vs CRP","rho=0.574350; q=0.018512","Only globally BH-significant score-clinical association"
"GSE154918","Primary infection-control AUC","0.656","Primary endpoint non-significant; P=0.1074"
"GSE185263","Score vs continuous 24-h SOFA","rho=0.311496; P=3.369e-09","Prespecified primary external severity endpoint"
"GSE185263","SOFA >=2 vs 0-1 AUC","0.669887","Secondary binary severity context"
"GSE185263","Adjusted SOFA beta","0.116609","Adjusted for age, sex, and collection location"
"GSE185263","Component genes with expected SOFA direction","5/5","All five BH-significant"
"GSE185263","Mortality AUC","0.627264","Secondary analysis"
"GSE185263","ICU vs Emergency Room AUC","0.643866","Secondary analysis"
"GSE185263","Sepsis vs healthy AUC","0.949451","Contextual only"
