"audit_item","expected","observed","status"
"Supplementary package freeze lock","FOUND","TRUE","PASS"
"Supplementary package FROZEN_READY","TRUE","TRUE","PASS"
"Main Table 1","1","1","PASS"
"Readable Main Table 1","1","1","PASS"
"Main Figures PNG","5","5","PASS"
"Main Figures PDF","5","5","PASS"
"Main Figures TIFF","5","5","PASS"
"English main-figure captions","5","5","PASS"
"Expected source-script provenance","PASS","TRUE","PASS"
"Possible direct identifiers in Main Table 1","0","0","PASS"
"Caption-label review notes","manual review only","0","CLEAR"
