"audit_item","expected","observed","status"
"Supplementary Tables","10","10","PASS"
"Supplementary Figures PNG","8","8","PASS"
"Supplementary Figures PDF","8","8","PASS"
"Supplementary Figures TIFF","8","8","PASS"
"English figure captions","8","8","PASS"
"Readable supplementary-table workbooks","10","10","PASS"
"Table numbering S1-S10","PASS","TRUE","PASS"
"Figure numbering S1-S8","PASS","TRUE","PASS"
"Expected source-script provenance","PASS","TRUE","PASS"
"Possible direct-identifier warnings","0","0","PASS"
"Informational scope review notes in tables","manual review only","0","CLEAR"
"Informational wording review notes in tables","manual review only","0","CLEAR"
"Informational scope review notes in captions","manual review only","0","CLEAR"
"Informational wording review notes in captions","manual review only","0","CLEAR"
"Caption-label review notes","manual review only","1","NOTE"
