"artifact_id","file_path","scope_keyword_hits","problematic_claim_hits","identifier_column_hits","status"
"Table S1","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/151_Table1_TableS1_discovery_cohort/tables/151_TableS1_deidentified_blood_metadata.xlsx","\burine\b","","","WARNING"
"Table S2","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/152b_final_submission_TableS2/tables/152b_TableS2_FINAL_SUBMISSION_biological_targets.xlsx","\bneat1\b","","","WARNING"
"Table S3","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/152_Tables_S2_S3_DE_enrichment/tables/152_TableS3_robust_core_and_functional_enrichment.xlsx","\bneat1\b","","","WARNING"
"Table S4","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/155_TableS4_SRS_CTS_endotypes/tables/155_TableS4_SRS_CTS_assignments_and_robustness.xlsx","","","","READY"
"Table S5","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/156_TableS5_candidate_panel_screening/tables/156_TableS5_candidate_gene_pool_and_exhaustive_panel_screening.xlsx","\burine\b","clinically validated | validated diagnostic","","WARNING"
"Table S6","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/157_TableS6_internal_cross_validation/tables/157_TableS6_repeated_internal_cross_validation.xlsx","","","","READY"
"Table S7","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/159_TableS7_complete_clinical_associations/tables/159_TableS7_complete_exploratory_clinical_associations.xlsx","","","","READY"
"Table S8","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/161_TableS8_published_signature_benchmarking/tables/161_TableS8_published_signature_benchmarking.xlsx","","","","READY"
"Table S9","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/163_TableS9_GSE154918_external_evaluation/tables/163_TableS9_GSE154918_external_evaluation.xlsx","","","","READY"
"Table S10","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/165_TableS10_GSE185263_external_evaluation/tables/165_TableS10_GSE185263_external_evaluation.xlsx","","clinically validated | validated diagnostic | validated prognostic | independent validation cohorts","","WARNING"
